species	chemical	frequency	pmid
Salix serissima	maden cu	1	32728950
Salix serissima	plh	1	32726362
Salix serissima	lignin-kaolin-acrylamide	1	32691519
Salix serissima	lignin-poly(ethylene)glycol diglycidyl ether	1	32691519
Salix serissima	lauroyl chloride	1	32691519
Salix serissima	c12	1	32691519
Salix serissima	wfae	1	32691519
Salix serissima	wfaeh	1	32691519
Salix serissima	polylactic acid	2	32691519, 20724061
Salix serissima	pla	2	32691519, 20724061
Salix serissima	5-aminosalicylate	1	32673257
Salix serissima	n-acetyl 5-aminosalicylic acid	1	32671846
Salix serissima	n-ac-5-asa	2	32671846
Salix serissima	myricitrin	1	32638681
Salix serissima	hyperin	1	32638681
Salix serissima	menadione	2	32630418
Salix serissima	salisylic acid	1	32630418
Salix serissima	free radical	2	32630418, 16366042
Salix serissima	2-methyl-1,4-naphthoquinone	1	32630418
Salix serissima	leadmium  green am	1	32600254
Salix serissima	propidium iodide	2	32600254, 17418981
Salix serissima	mes	2	32585306
Salix serissima	acetyl l-carnitine hcl	1	32575480
Salix serissima	l-theanine	1	32575480
Salix serissima	benfotiamine	1	32575480
Salix serissima	l-tetrahydropalmatine	1	32575480
Salix serissima	dom	1	32562229
Salix serissima	tin	3	32560046, 31926409, 15341317
Salix serissima	sn	3	32560046, 11706797, 11669279
Salix serissima	pamoras	1	32554978
Salix serissima	curculionids	1	32549748
Salix serissima	poly-cis-1,4-isoprene	1	32545487
Salix serissima	flg22	2	32540022
Salix serissima	fls2	1	32540022
Salix serissima	glargine	12	32538550, 29167192, 28672317
Salix serissima	gla	4	32538550
Salix serissima	bmq	1	32532602
Salix serissima	clbp	1	32523371
Salix serissima	saroglitazar	7	32518275
Salix serissima	pioglitazone	4	32518275, 26455893
Salix serissima	diglycerides	1	32518275
Salix serissima	sphingomyelins	1	32518275
Salix serissima	ceramides	2	32518275, 26330688
Salix serissima	chlorophyll a	2	32494031, 18808013
Salix serissima	sab	3	32486449
Salix serissima	malondialdehide	1	32486449
Salix serissima	levoglucosan	4	32470716, 23347928
Salix serissima	anhydrosaccharide	1	32470716
Salix serissima	xylite	1	32470716
Salix serissima	hopanoid	1	32470716
Salix serissima	22r-alpha,beta-homohopane	2	32470716
Salix serissima	betabeta-hopanes	2	32470716
Salix serissima	hopenes	2	32470716
Salix serissima	homohopane	1	32470716
Salix serissima	hopanes	1	32470716
Salix serissima	tanezumab	15	32453139
Salix serissima	niso4 6h2o	1	32440877
Salix serissima	pb-edta	1	32440877
Salix serissima	sulfolane	6	32416306
Salix serissima	naoh	5	32416306, 30791444, 27080567, 21376959
Salix serissima	lignins	3	32416306, 29932676
Salix serissima	6-mercaptopurine	10	32413933, 25099640, 24847181, 22257476
Salix serissima	6-mp	7	32413933, 22257476
Salix serissima	toluene	10	32362680, 28624942, 15341317, 21669733
Salix serissima	peg	10	32355887, 30856159, 26051158, 25016075
Salix serissima	sodium sulfate	1	32355887
Salix serissima	citric acid	7	32355887, 31639642, 31364865, 14674516
Salix serissima	sodium phosphate	1	32355887
Salix serissima	magnesium citrate	1	32355887
Salix serissima	peg-3350	1	32355887
Salix serissima	aconitine	5	32323892
Salix serissima	ile	1	32308662
Salix serissima	thr53	1	32308662
Salix serissima	miyabeacin	3	32296088
Salix serissima	cyclodimeric salicinoid	1	32296088
Salix serissima	quinol	1	32296088
Salix serissima	quinols	1	32296088
Salix serissima	rivaroxaban	5	32292291
Salix serissima	warfarin	11	32292291, 28355434
Salix serissima	optum	1	32292291
Salix serissima	simeprevir	21	32270053, 29378602, 29147645, 26519873, 26497081, 25825070
Salix serissima	daclatasvir	8	32270053, 28504842, 27605539
Salix serissima	daas	5	32270053, 31096006, 28161470
Salix serissima	hi-c	1	32257231
Salix serissima	cyclosativene	1	32251305
Salix serissima	alpha-longipinene	1	32251305
Salix serissima	copaene	1	32251305
Salix serissima	caryophyllene	1	32251305
Salix serissima	2,4-dimethyl-1-heptene	1	32251305
Salix serissima	sy310	5	32222921
Salix serissima	polysaccharide	4	32222921, 23532212, 10779997
Salix serissima	varenicline	3	32214373
Salix serissima	methyltrexone	1	32210534
Salix serissima	cuso4	1	32208308
Salix serissima	alumina	1	32200145
Salix serissima	(epi)catechin-(epi)catechin	2	32187997
Salix serissima	trichocarposide	1	32187997
Salix serissima	caffeoylmalic acid	1	32187997
Salix serissima	ascorbate	8	32175583, 30648425, 28261257, 23562799
Salix serissima	certolizumab pegol	3	32100960, 31245056
Salix serissima	czp	9	32100960, 31245056
Salix serissima	salicin-7-sulfate	6	32098786, 29447984
Salix serissima	salirepin-7-sulfate	4	32098786
Salix serissima	salirepin	1	32098786
Salix serissima	sulfate salts	1	32083671
Salix serissima	sulfate	6	32083671, 27216699, 24912238, 14713561
Salix serissima	atp	14	32062275, 23597204, 24225872, 24487552, 24499982
Salix serissima	short chain fatty acids	2	32056227, 27228404
Salix serissima	bergamot polyphenols	1	32054943
Salix serissima	bergamot	2	32054943
Salix serissima	bpf99	3	32054943
Salix serissima	ldl-c	3	32054943, 30672598
Salix serissima	ni(ii)	5	32050382
Salix serissima	cu(ii)	5	32050382
Salix serissima	sc	4	32042283, 11706797, 11669279
Salix serissima	zn sulfate	1	32026720
Salix serissima	znso4	3	32026720, 24912238
Salix serissima	dihydroflavonols	3	32025274
Salix serissima	flavanonols	1	32025274
Salix serissima	taxifolin-7-sulfate	1	32025274
Salix serissima	dihydrokaempferol-7-sulfate	1	32025274
Salix serissima	eridictyol-7-sulfate	1	32025274
Salix serissima	naringenin-7-sulfate	1	32025274
Salix serissima	sulfated flavanones	1	32025274
Salix serissima	eriodictyol	10	32025274, 26492639, 21982436, 20648923
Salix serissima	linactolide	1	32022721
Salix serissima	tio2	6	35492629
Salix serissima	ti4+	1	35492629
Salix serissima	ag-n-tio2-ac	2	35492629
Salix serissima	-ac	1	35492629
Salix serissima	terpenoid	3	31957145, 35222652
Salix serissima	monoterpene	7	31957145, 35222652, 20419383, 12800650
Salix serissima	sesquiterpene	3	31957145, 35222652, 20419383
Salix serissima	diroximel fumarate	2	31953790
Salix serissima	dimethyl fumarate	2	31953790
Salix serissima	drf	1	31953790
Salix serissima	fumarate	1	31953790
Salix serissima	monomethyl fumarate	2	31953790
Salix serissima	dmf	5	31953790
Salix serissima	perfluoroalkyl substances	2	31951898
Salix serissima	pfaas	1	31951898
Salix serissima	pfaa	2	31951898
Salix serissima	fiber	3	31945360, 31043597
Salix serissima	iron sulphate	7	31926409
Salix serissima	salidroside	5	31906808, 30909533, 17880029, 16315493
Salix serissima	tremulodin	1	31906808
Salix serissima	salicoylsalicin	2	31906808, 16315493
Salix serissima	trypan blue	1	31906808
Salix serissima	cd-zn	2	31899944, 8633220
Salix serissima	eb	1	31877906
Salix serissima	bupivacaine	8	31843865, 31429023, 31113830
Salix serissima	meloxicam	21	31843865, 31429023, 31113830, 30737315
Salix serissima	zn foliar	2	31838670
Salix serissima	jyz-sd2	1	31834431
Salix serissima	dp	5	31813400, 24764193
Salix serissima	acetophenone	1	31801290
Salix serissima	flavonol	1	31801290
Salix serissima	ct-p13	2	31788249
Salix serissima	chlorogenic	1	34057484
Salix serissima	vanillic acid	2	34057484, 12711137
Salix serissima	glutamine	2	31785173, 31136680
Salix serissima	bismuth carbomer foam enema	4	31785173, 31136680
Salix serissima	allopurinol	2	31785173, 31136680
Salix serissima	tinidazole	2	31785173, 31136680
Salix serissima	triamcinolone	1	31778150
Salix serissima	salicyl benzoate	3	31736216
Salix serissima	glycoside	18	31736216, 30909533, 20593762, 16546198, 12756526, 28547071, 28310428, 28309845, 28310435, 5780514, 5881028
Salix serissima	salicyl alcohol glucoside	1	31736216
Salix serissima	benzoic	1	31736216
Salix serissima	cinnamic	1	31736216
Salix serissima	salicylaldehyde	22	31736216, 30250684, 25804685, 25537016, 21383196, 20177744, 18482980, 15725287, 12698348, 12530219, 24242305, 28313629, 28312276
Salix serissima	2-hydroxycinnamic acid	1	31736216
Salix serissima	tremuloidin	6	31736216, 31137712, 23016273, 21748301, 24271998
Salix serissima	alosetron	21	31707713, 31632456, 30996042, 30288076, 29774051, 28729815, 21927652
Salix serissima	free fatty acids	2	31645900
Salix serissima	triacylglycerols	1	31645900
Salix serissima	glycerophospholipids	1	31645900
Salix serissima	tartaric acid	5	31639642
Salix serissima	gabapentin	7	31589557, 25575710
Salix serissima	pregabalin	5	31589557, 25575710
Salix serissima	sb	9	31574373, 26276281, 24077919, 11706797, 11669279
Salix serissima	terpanes	1	31574373
Salix serissima	baycox	1	31558909
Salix serissima	uranium	12	31493563, 24823679, 14674516
Salix serissima	tba	5	31493563, 16723185, 14690024
Salix serissima	5-ht	6	31491430, 17163262
Salix serissima	ind	5	31446183
Salix serissima	bupivacaine hcl	11	31429023, 31113830
Salix serissima	bupivacaine hydrochloride	2	31429023, 31113830
Salix serissima	luteolin 7-o-glucoside	2	31426583, 18794770
Salix serissima	f7ac	1	31426583
Salix serissima	f8ac	1	31426583
Salix serissima	polyethylene glycol 6000	1	31416414
Salix serissima	peg 6000	1	31416414
Salix serissima	mononucleotide	2	31382526, 31380427
Salix serissima	fludeoxyglucose	1	31365104
Salix serissima	florbetapir	1	31365104
Salix serissima	streptozotocin	4	31340129, 24404976
Salix serissima	beta-d-glucuronide	4	31340129
Salix serissima	ibuprofen-beta-d-glucuronide	1	31340129
Salix serissima	l-ornithine	1	31338724
Salix serissima	l-aspartate	1	31338724
Salix serissima	lola	4	31338724, 30706425
Salix serissima	tc	5	31285357
Salix serissima	cm	1	31285357
Salix serissima	cdcl2	1	31279860
Salix serissima	atrocinerea	1	31279189
Salix serissima	thiols	1	31279189
Salix serissima	pegol	2	31245056, 23814608
Salix serissima	dithiodiketopiperazine	1	31210064
Salix serissima	epidithiodiketopiperazine	1	31210064
Salix serissima	etp	1	31210064
Salix serissima	pretrichodermamide	1	31210064
Salix serissima	(epi)dithiodiketopiparazines	1	31210064
Salix serissima	pretrichodermamide a	1	31210064
Salix serissima	tht	1	31185031
Salix serissima	salix aegyptica	1	31185031
Salix serissima	furfural	3	31157763, 24655423, 24534902
Salix serissima	5-methylfurfural	1	31157763
Salix serissima	ketoconazole	1	31148886
Salix serissima	salicyl ether	1	31137712
Salix serissima	aromadendrin	2	31137712, 18787784
Salix serissima	isorhamnetin-3-o-beta-d-rutinoside	2	31137712
Salix serissima	gallocatechin	4	31137712, 12711137
Salix serissima	chrysoeriol-7-o-glucuronide	1	31137712
Salix serissima	juglone	2	31137712
Salix serissima	mefenamic acid	5	31126541
Salix serissima	biochronomerpolymer	1	31113830
Salix serissima	pms	3	31107033
Salix serissima	kshb	8	31106055, 27366644
Salix serissima	sofosbuvir/ledipasvir	1	31096006
Salix serissima	sofosbuvir/velpatasvir	1	31096006
Salix serissima	grazoprevir/elbasvir	1	31096006
Salix serissima	paritaprevir/ombitasvir/ritonavir	1	31096006
Salix serissima	dasabuvir	5	31096006, 30980576, 28504842
Salix serissima	lc3-	1	31090940
Salix serissima	chloroquine	5	31090940, 21038438
Salix serissima	bafilomycin a	1	31090940
Salix serissima	mir-155	1	31090940
Salix serissima	hydro-alcoholic	2	31081770, 26918240
Salix serissima	lidar	1	31052794
Salix serissima	lif	1	31052794
Salix serissima	nh3-n	1	31041710
Salix serissima	ssl	1	31022617
Salix serissima	ramosetron	5	30996042
Salix serissima	ombitasvir/paritaprevir/ritonavir	1	30980576
Salix serissima	ribavirin	41	30980576, 29453451, 29378602, 29147645, 28504842, 27605539, 27418632, 27018988, 26519873, 26497081, 25825070, 25627020, 24266536, 24118693, 23356386, 22537438
Salix serissima	ombitasvir	2	30980576, 28504842
Salix serissima	paritaprevir	2	30980576, 28504842
Salix serissima	ritonavir	3	30980576, 28504842
Salix serissima	waste oil	2	30974363
Salix serissima	phc	3	30974363, 27660624, 26459343
Salix serissima	(des)-lignins	1	30960794
Salix serissima	d6h	3	30960794
Salix serissima	d9h	1	30960794
Salix serissima	d12h	2	30960794
Salix serissima	d18h	1	30960794
Salix serissima	d24h	2	30960794
Salix serissima	des-lignin	4	30960794
Salix serissima	beta-aryl ether (beta-o-4)	1	30960794
Salix serissima	rbs	11	30951125, 28505881, 26282745
Salix serissima	nitrates	3	30951125, 30907114, 10982731
Salix serissima	dbs ifx	1	30927375
Salix serissima	infliximab-dyyb	1	30923985
Salix serissima	salix phenolic glycoside	1	30909533
Salix serissima	disaccharide	1	30909533
Salix serissima	apiose	1	30909533
Salix serissima	rhamnose	1	30909533
Salix serissima	chavicol	1	30909533
Salix serissima	onnitrate	1	30907114
Salix serissima	baf medium	1	30881760
Salix serissima	pbcs	1	30854028
Salix serissima	salicylic alcohol	5	30849676, 29059537, 26492639
Salix serissima	bark extract	2	30849676, 12844141
Salix serissima	salicis	7	30849676, 29689586, 11345689
Salix serissima	dihydroxyphenyl-valerolactone	1	30849676
Salix serissima	hydroxyphenyl-propionic acid	1	30849676
Salix serissima	coumaric acid	1	30849676
Salix serissima	flavonoid glycosides	1	30849676
Salix serissima	hydroethanolic	3	30816796, 18667240
Salix serissima	he	1	30816796
Salix serissima	polyunsaturated fatty acids	2	30814550, 20338949
Salix serissima	n-6 polyunsaturated fatty acid	1	30814550
Salix serissima	pufa	1	30814550
Salix serissima	monounsaturated fatty acids	1	30814550
Salix serissima	mufa	1	30814550
Salix serissima	dihomo-gamma linolenic acid	1	30814550
Salix serissima	dgla	1	30814550
Salix serissima	eicosapentaenoic acid	1	30814550
Salix serissima	epa	2	30814550
Salix serissima	docosapentaenoic acid	1	30814550
Salix serissima	dpa	1	30814550
Salix serissima	oleic acid	1	30814550
Salix serissima	n-6 fatty acids	1	30814550
Salix serissima	efsa	1	32626233
Salix serissima	dmso	1	30791444
Salix serissima	tylose	3	30791444
Salix serissima	koh	1	30791444
Salix serissima	heavy metals	1	30778927
Salix serissima	l-ornithine-l-aspartate	1	30706425
Salix serissima	hydrocortisone acetate	2	30690691
Salix serissima	secukinumab	8	30674475, 22595313
Salix serissima	small dense low-density lipoprotein cholesterol	1	30672598
Salix serissima	sdldl-c	1	30672598
Salix serissima	metals	4	30666899, 18603359, 18586368, 12927498
Salix serissima	fe(ii)	2	30666895, 21465162
Salix serissima	bisphosphonates	1	30660969
Salix serissima	n10o	4	30660969
Salix serissima	lime	2	30660969
Salix serissima	superoxide anion	1	30648425
Salix serissima	sd	2	30648399, 24696660
Salix serissima	cd-zn-pb	2	30622547, 25942689
Salix serissima	vitamin e	9	30586008, 21521847
Salix serissima	vite	1	30586008
Salix serissima	hydrocarbon	16	30579173, 27660624, 25032685, 24067257, 23985744, 22984892, 11471702
Salix serissima	ferrocyanide	25	30573106, 25477029, 18614232, 18249493, 16703454, 16615307, 16570621
Salix serissima	iron cyanide	13	30573106, 26992391, 18614232, 18249493, 16703454, 16570621
Salix serissima	cyanide	116	30573106, 28624942, 26992391, 25477029, 21465162, 19137150, 18246771, 17335966, 16615307, 16615306, 16570621, 16137157, 15981035, 15871248, 15859117, 15833483, 14575745
Salix serissima	cn	2	30573106, 15871248
Salix serissima	15n	20	30573106, 27149113, 24186940, 19190704, 16866945, 16615307, 28307122, 28313420
Salix serissima	potassium ferrocyanide	4	30573106, 18614232, 18249493, 16703454
Salix serissima	iron cyanides	3	30573106, 25477029
Salix serissima	guayule	1	30529336
Salix serissima	amine	1	30529336
Salix serissima	thiourea	1	30507306
Salix serissima	halogenated thiourea	1	30507306
Salix serissima	atx	1	30507306
Salix serissima	cisplatin	1	30507306
Salix serissima	iodine	1	30507306
Salix serissima	lanadelumab	12	30480729
Salix serissima	thn	2	30476356
Salix serissima	holocellulose	3	30460800, 27080567
Salix serissima	methadone	3	30425563
Salix serissima	3h	2	30421133, 24474870
Salix serissima	17alpha-ethynylestradiol	1	30421133
Salix serissima	ee2	3	30421133
Salix serissima	diltiazem	1	30421133
Salix serissima	dtz	3	30421133
Salix serissima	dzp	3	30421133
Salix serissima	atrazine	4	30421133, 27196962
Salix serissima	atz	3	30421133
Salix serissima	octanol	3	30421133, 11347605
Salix serissima	2-metoxy-1,4-naphtoquinone	1	30403696
Salix serissima	2-mnq	2	30403696
Salix serissima	prostaglandin	6	30391545, 24956584, 8583796
Salix serissima	diclofenac	7	30374713, 20648923, 20570123, 15517622
Salix serissima	ketoprofen	1	30374713
Salix serissima	atenolol	2	30374713
Salix serissima	4-n-np	1	30374713
Salix serissima	4-n-nonylphenol	1	30374713
Salix serissima	monoethoxylated nonylphenol	1	30374713
Salix serissima	np1eo	2	30374713
Salix serissima	diethoxylated nonylphenol	1	30374713
Salix serissima	np2eo	2	30374713
Salix serissima	triclosan	3	30374713
Salix serissima	np	1	30374713
Salix serissima	ketoprofene	1	30374713
Salix serissima	fulranumab	8	30368018
Salix serissima	trp	4	30346384, 29127795
Salix serissima	ramet	1	30326333
Salix serissima	dhp	1	30325141
Salix serissima	neomycin	2	30288076, 23771952
Salix serissima	4,8-dimethylnona-1,3,7-triene	1	30250684
Salix serissima	boswellia extract	1	30232562
Salix serissima	pycnogenol	1	30232562
Salix serissima	glucosamine	1	30232562
Salix serissima	chondroitin	1	30232562
Salix serissima	methylsulfonylmethane	1	30232562
Salix serissima	triglyceride	2	30222962
Salix serissima	pm2	1	30194574
Salix serissima	graminoids	5	30165832, 12698346, 28308014, 28307354, 28313731
Salix serissima	vitamin d	1	30117164
Salix serissima	super phosphate	1	30097985
Salix serissima	tsp	6	30097985
Salix serissima	triple super phosphate	5	30097985
Salix serissima	carbonates	1	30097985
Salix serissima	fe-mn oxides	1	30097985
Salix serissima	ajava seed	1	30087877
Salix serissima	idn-6556	1	30063802
Salix serissima	acylcarnitine	1	30059671
Salix serissima	ptns	4	30034533
Salix serissima	malonaldehyde	2	30024830, 28336092
Salix serissima	thiobarbituric acid	1	30024830
Salix serissima	delta2h	1	29955988
Salix serissima	fluoroquinolone	3	29944121, 19709778
Salix serissima	phosphoric acid	2	29944121, 27997386
Salix serissima	h3po4	3	29944121
Salix serissima	ciprofloxacin hydrochloride	1	29944121
Salix serissima	cip	1	29944121
Salix serissima	alkaline nitrobenzene	1	29932676
Salix serissima	guaiacyl	1	29932676
Salix serissima	beta-aryl ethers	1	29932676
Salix serissima	phenylcoumarans	1	29932676
Salix serissima	resinols	1	29932676
Salix serissima	cinnamyl alcohol	1	29932676
Salix serissima	d-lactate	1	29915215
Salix serissima	d-lactic acid	1	29915215
Salix serissima	l-lactic acid	1	29915215
Salix serissima	salicylate glucosides	3	29906656
Salix serissima	5-caffeoylquinic acid	1	29906656
Salix serissima	isosalipurposide	4	29906656, 23610956, 16315493
Salix serissima	naringenin glucosides	1	29906656
Salix serissima	nnh4	1	29902624
Salix serissima	sps	6	29901171
Salix serissima	5-aminosalicylic acid compounds	1	29752633
Salix serissima	prednisolone	3	29752633, 26368001
Salix serissima	6-thioguanine nucleotide	1	29752633
Salix serissima	6-tgn	1	29752633
Salix serissima	ciclosporin a	1	29752633
Salix serissima	csa	1	29752633
Salix serissima	tacrolimus	2	29752633, 25825070
Salix serissima	cu-a	1	29737488
Salix serissima	epinephrine	7	29723945, 28265481, 12773073, 8807513
Salix serissima	methylene blue	2	29704601
Salix serissima	fruticosum	1	29696882
Salix serissima	ks	1	29692065
Salix serissima	kl	1	29692065
Salix serissima	triacetin	1	29689586
Salix serissima	tween 20	1	29689586
Salix serissima	labrasol	1	29689586
Salix serissima	salicis cortex extract	3	29689586, 11345689
Salix serissima	caco-2	1	29689586
Salix serissima	tricarboxylic acid	1	29681789
Salix serissima	tca	1	29681789
Salix serissima	salts	2	29637065, 25770960
Salix serissima	zinc (ii) chloride	1	29637065
Salix serissima	ethylenediurea	5	29621726, 28923722, 27607908
Salix serissima	edu	25	29621726, 28923722, 27607908, 27259037
Salix serissima	ethyelenediurea	1	29621726
Salix serissima	argan oil	2	29619939
Salix serissima	butylhydroxytoluene	1	29619939
Salix serissima	bht	10	29619939, 26080509, 24363740
Salix serissima	peroxide	4	29619939, 27155486
Salix serissima	n-alkanes	3	29567421, 17900636
Salix serissima	carex	3	29531701, 28308014
Salix serissima	acid-butanol	1	29520880
Salix serissima	stilbenes	3	29520880, 17962750
Salix serissima	catechins	2	29516419, 21118078
Salix serissima	o-methylated flavanols	1	29516419
Salix serissima	hydroxycinnamic acids	1	29516419
Salix serissima	thujone	1	29516419
Salix serissima	vanillin	5	29514630, 24655423
Salix serissima	hc-26	2	29511215
Salix serissima	hexanal	1	29486454
Salix serissima	dimethyl benzene	1	29486454
Salix serissima	dihydrofuranone	1	29486454
Salix serissima	ledipasvir/sofosbuvir	1	29453451
Salix serissima	simeprevir/sofosbuvir	1	29453451
Salix serissima	naltrexone	1	29391826
Salix serissima	cho	2	29379769
Salix serissima	pegylated interferon-alpha	2	29378602, 23356386
Salix serissima	pegylated interferon	1	29378602
Salix serissima	pr	2	29378602
Salix serissima	2,4-dichlorophenoxyacetic acid	7	29336683, 16867147
Salix serissima	4-chloro-2-metylphenoxyacetic acid	2	29336683
Salix serissima	carbons	4	29336683
Salix serissima	2,4-d	3	29336683
Salix serissima	mcpa	3	29336683
Salix serissima	glycerinated histamine	1	29315920
Salix serissima	glycerin	1	29315920
Salix serissima	ungal	3	29300232
Salix serissima	sulfide	1	29293827
Salix serissima	organic carbon	8	29293827, 28199876, 26314138, 20669729, 19260227, 15996802, 15325190, 15142245
Salix serissima	oxytetracycline	2	29271892
Salix serissima	iron oxides	1	29249024
Salix serissima	nh4no3	1	29249024
Salix serissima	13c-phenanthrene	1	29249024
Salix serissima	phe	14	29249024, 26247604, 10712554
Salix serissima	13c-phospholipid fatty acid	1	29249024
Salix serissima	pf-04236921	4	29247068
Salix serissima	ole	1	29247068
Salix serissima	metal(loid)s	1	29220748
Salix serissima	auxin	8	29189719, 20021556, 16658077, 24487450, 24497018
Salix serissima	sulfentrazone	3	29188326
Salix serissima	metsulfuron	1	29188326
Salix serissima	cerambyx	1	29187784
Salix serissima	peglispro	1	29167192
Salix serissima	bil	5	29167192
Salix serissima	catecholamines	7	29157811, 25779939
Salix serissima	chromaffin	1	29157811
Salix serissima	scbes	2	29157811
Salix serissima	smv	3	29147645, 26519873
Salix serissima	sof	10	29147645, 28504842, 27605539, 27418632, 26519873
Salix serissima	pentoxifylline	7	29145246
Salix serissima	xanthine	1	29145246
Salix serissima	dess	1	29143790
Salix serissima	lac	1	29143790
Salix serissima	glycerol	2	29143790, 26369015
Salix serissima	chcl-lac	1	29143790
Salix serissima	1,2-decanediol	4	29131127, 28712268
Salix serissima	retinoids	1	29131127
Salix serissima	lipopolysaccharides	1	29131127
Salix serissima	fe-mn oxide	1	29098512
Salix serissima	phorbol 12-myristate 13-acetate	1	29095427
Salix serissima	ionomycin	1	29095427
Salix serissima	cg	2	29095427
Salix serissima	o2	20	29066737, 25782052, 24957134, 22419741, 22195594, 15523563, 12975131, 9687163, 24221717
Salix serissima	ss	1	29066737
Salix serissima	pa	6	29059537, 21465162
Salix serissima	dp-2 - dp-	1	29059537
Salix serissima	thiobarbituric-acid-reactive substances	1	29017130
Salix serissima	tbars	1	29017130
Salix serissima	osmoprotectants	1	29017130
Salix serissima	lipid peroxides	1	29017130
Salix serissima	pf-00547659	2	28982740
Salix serissima	madcam	2	28982740
Salix serissima	dibutyl-phthalate	3	28978458, 27575365
Salix serissima	phthalates	2	28978458, 27575365
Salix serissima	dibutyl phthalate	1	28978458
Salix serissima	dbp	2	28978458, 27575365
Salix serissima	testosterone	1	28978458
Salix serissima	hydro distillate	2	28963618
Salix serissima	2, 2-diphenyl-1-picrylhydrazil	1	28963618
Salix serissima	hexahydrofarnesylacetone	1	28963618
Salix serissima	2-butyl-octanol	1	28963618
Salix serissima	2.hexyl-1-octanol	1	28963618
Salix serissima	pgi-s	3	28932269
Salix serissima	pgi-c	2	28932269
Salix serissima	drench	1	28923722
Salix serissima	aminosalicylates	2	28886205
Salix serissima	se	18	28873664, 27255321, 18719961, 18062484, 11706797, 11669279, 24193535
Salix serissima	rsa	1	28873664
Salix serissima	tes	1	28873664
Salix serissima	valdecoxib	1	28872719
Salix serissima	oligo-, di-, and monosaccharides and polyols	1	28729815
Salix serissima	fodmaps	1	28729815
Salix serissima	protic ionic liquid	1	28718847
Salix serissima	n2220	1	28718847
Salix serissima	hso4	1	28718847
Salix serissima	willow bark extract	11	28712268, 25997859, 20648923, 20570123, 19140170, 18815018, 17418981, 15846949, 12621392, 10936472
Salix serissima	1,2-alkanediol	1	28712268
Salix serissima	alkane	1	28712268
Salix serissima	w-mal	5	28712268
Salix serissima	chromated copper arsenate	1	28708621
Salix serissima	polychlorodibenzo-p-dioxins	1	28708621
Salix serissima	polychlorodibenzofuran	1	28708621
Salix serissima	nafl	1	28696585
Salix serissima	chenodeoxycholate	2	28696585
Salix serissima	cholate	3	28696585
Salix serissima	taurocholate	1	28696585
Salix serissima	dolomite	1	28664494
Salix serissima	oligonucleotides	1	28660478
Salix serissima	helioxanthin	1	28660478
Salix serissima	sb 9200	1	28660478
Salix serissima	salicis-futurae	1	28641042
Salix serissima	m. salicis-triandrae	1	28641042
Salix serissima	trichloroethylene	4	28639018, 19260231, 28133997
Salix serissima	tce	34	28639018, 28160680, 26684839, 19260231, 28133997
Salix serissima	chloride	17	28639018, 25770960, 20734625, 20096566, 19883963, 18593217, 14713561
Salix serissima	organotins	2	28624942, 15341317
Salix serissima	chlorophenols	1	28624942
Salix serissima	lemna	1	28624942
Salix serissima	ethylbenzene	1	28624942
Salix serissima	xylene	1	28624942
Salix serissima	cu2+	3	28614755, 27916135, 17533837
Salix serissima	ni2+	2	28614755, 27916135
Salix serissima	pyrexol	1	28603131
Salix serissima	formalin	2	28590905
Salix serissima	pentacyclic	1	28590905
Salix serissima	triterpenes	1	28590905
Salix serissima	oleanane	1	28590905
Salix serissima	ursane	1	28590905
Salix serissima	rifampin	6	28589238, 23922656, 18430792
Salix serissima	nonrifamycin	2	28589238
Salix serissima	ombitasvir/paritaprevir	1	28504842
Salix serissima	seddna	2	28488798
Salix serissima	ac	5	28486184, 26378767
Salix serissima	silicon	1	28486184
Salix serissima	cacl2	5	28477255, 28061412, 15963374, 15913857
Salix serissima	telaprevir	21	28469811, 26497081, 25715116, 25627020, 25398070, 24266536, 24118693, 22537438
Salix serissima	boceprevir	15	28469811, 26497081, 26327916, 25715116, 25627020, 25398070, 22537438
Salix serissima	meoh	3	28449181, 29648714
Salix serissima	apigenin glycosides	1	28449181
Salix serissima	procyanidin	10	28449181, 24957134, 20533825, 12591272, 10552793
Salix serissima	adenosine	2	28449181, 11345689
Salix serissima	brdu	1	28449181
Salix serissima	luteolin-7-o-beta-glucuronide	2	28449181
Salix serissima	luteolin-7-o-beta-glucopyranoside	1	28449181
Salix serissima	willow bark tea	1	28436611
Salix serissima	cerambycid	3	28402490
Salix serissima	cerambycids	1	28402490
Salix serissima	pine chips	1	28402490
Salix serissima	apixiban	1	28355434
Salix serissima	iaa	13	28348550, 22913630, 20021556, 24487678, 24493169, 24487450, 24497018, 20925659
Salix serissima	occidiofungin	1	28348550
Salix serissima	hydrogen cyanide	2	28348550, 14575745
Salix serissima	acetylene	2	28348550
Salix serissima	lactose	1	28323273
Salix serissima	salicylic glycosides	3	28315389
Salix serissima	sgs	2	28315389, 12698348
Salix serissima	naringenin 5-o-glucoside	1	28315389
Salix serissima	naringenin 7-o-glucoside	1	28315389
Salix serissima	chalcone isosalipurposide	1	28315389
Salix serissima	phytomedicine	1	28275210
Salix serissima	tora	2	28270828
Salix serissima	essential oil	3	28265361, 25536022
Salix serissima	pwe	2	28265361
Salix serissima	pweo	2	28265361
Salix serissima	tbhq	2	28265361
Salix serissima	gae	2	28265361
Salix serissima	plastoquinone	1	28261257
Salix serissima	nadp+	1	28261257
Salix serissima	shikimate	5	28261257, 26561751, 20860033, 10712554
Salix serissima	folic acid	1	28257169
